time,ticker,blockchain_type,min_value,max_value,average_amount,average_fee,average_gas_price,gas_used,difficulty,transaction_amount
1678579200,ETH,ETH,0.0,133149617602.30597,1591579063.9400551,0.00027844446100750336,28.301593789423666,14303669.666666666,58750003716598360000000,110
1678575600,ETH,ETH,0.0,7618358316.473468,276210305.81274104,0.00024291727972222674,32.08394084375568,9174313.166666666,58750003716598360000000,91
1678572000,ETH,ETH,0.0,55795910578.81597,939027033.8834448,0.0003390879574259558,48.62568131963081,14572899.0,58750003716598360000000,129
1678568400,ETH,ETH,0.0,700775970021.6666,3214553519.4164777,0.00040569024050407233,50.01207375443578,16582359.833333334,58750003716598360000000,133
1678564800,ETH,ETH,0.0,31580480763.333332,574124603.4317924,0.00024978174994876555,41.5895164981308,13213381.833333334,58750003716598360000000,113
1678561200,ETH,ETH,0.0,127401526666.66667,1339641187.8199198,0.0003562300676052002,44.37940433127938,13831900.666666666,58750003716598360000000,127
1678557600,ETH,ETH,0.0,1387561190976.7424,12539678933.782206,0.00031063273796978655,106.59462354596269,14927515.0,58750003716598360000000,148
1678554000,ETH,ETH,0.0,321381543724.90906,3085111591.998333,0.0003241365680957088,48.726974768791216,16313016.833333334,58750003716598360000000,147
1678550400,ETH,ETH,0.0,301246690190.84436,2331801483.3783717,0.0003198843042014727,46.89066663088135,14042447.666666666,58750003716598360000000,143
1678546800,ETH,ETH,0.0,84910000000.0,927478947.6988049,0.000255630189240833,58.15114229488492,14730050.5,58750003716598360000000,142
1678543200,ETH,ETH,0.0,158016844630.0,1628809961.0592253,0.00032354997237192936,54.610910848106776,14695397.5,58750003716598360000000,142
1678539600,ETH,ETH,0.0,672030390923.4949,6910739519.008083,0.0002775528601141371,66.51728190878286,13264644.0,58750003716598360000000,121
1678536000,ETH,ETH,0.0,721436630833.3334,6569651276.709862,0.0002618921049571853,71.85832615264157,13158744.833333334,58750003716598360000000,116
1678532400,ETH,ETH,0.0,49257914865.0,676884053.328205,0.00026454814571495847,80.86786293721481,14380467.5,58750003716598360000000,144
