time,keyword,positive,negative,neutral
1678579200,#ETH,19,5,72
1678575600,#ETH,16,4,79
1678572000,#ETH,15,2,111
1678568400,#ETH,29,4,111
1678564800,#ETH,33,4,107
1678561200,#ETH,26,4,150
1678557600,#ETH,25,7,168
1678554000,#ETH,20,3,177
1678550400,#ETH,28,8,139
1678546800,#ETH,29,7,138
1678543200,#ETH,29,7,146
1678539600,#ETH,26,5,142
1678536000,#ETH,19,5,149
1678532400,#ETH,21,5,120
1678528800,#ETH,28,4,108
1678525200,#ETH,23,10,167
1678521600,#ETH,22,17,117
1678518000,#ETH,18,10,78
1678514400,#ETH,15,6,93
1678510800,#ETH,23,7,105
1678507200,#ETH,18,3,80
1678503600,#ETH,28,5,99
1678500000,#ETH,22,5,123
1678496400,#ETH,31,6,86
1678492800,#ETH,23,6,120
1678489200,#ETH,24,4,107
1678485600,#ETH,23,5,119
1678482000,#ETH,29,6,113
1678478400,#ETH,31,6,129
1678474800,#ETH,36,7,147
1678471200,#ETH,37,9,154
1678467600,#ETH,42,10,148
1678464000,#ETH,50,9,141
1678460400,#ETH,34,6,160
1678456800,#ETH,34,11,155
1678453200,#ETH,35,11,154
1678449600,#ETH,29,15,156
1678446000,#ETH,36,9,155
1678442400,#ETH,36,6,134
1678438800,#ETH,27,8,137
1678435200,#ETH,29,5,121
1678431600,#ETH,18,5,110
1678428000,#ETH,21,5,91
1678424400,#ETH,16,5,82
1678420800,#ETH,19,11,81
1678417200,#ETH,26,11,125
1678413600,#ETH,26,13,119
1678410000,#ETH,33,10,127
1678406400,#ETH,26,6,128
1678402800,#ETH,30,8,140
1678399200,#ETH,37,9,154
1678395600,#ETH,27,14,159
1678392000,#ETH,30,4,166
1678388400,#ETH,35,9,156
1678384800,#ETH,29,8,157
1678381200,#ETH,25,9,166
1678377600,#ETH,24,5,171
1678374000,#ETH,23,4,173
1678370400,#ETH,23,7,169
1678366800,#ETH,24,4,165
1678363200,#ETH,14,6,153
1678359600,#ETH,20,2,135
1678356000,#ETH,20,5,120
1678352400,#ETH,12,0,188
1678348800,#ETH,21,2,106
1678345200,#ETH,15,3,105
1678341600,#ETH,18,3,81
1678338000,#ETH,23,3,86
1678334400,#ETH,12,4,126
1678330800,#ETH,21,2,71
1678327200,#ETH,7,1,81
1678323600,#ETH,19,4,100
1678320000,#ETH,18,1,107
1678316400,#ETH,21,3,126
1678312800,#ETH,19,7,138
1678309200,#ETH,29,7,129
1678305600,#ETH,24,3,126
1678302000,#ETH,28,1,163
1678298400,#ETH,38,5,154
1678294800,#ETH,29,1,142
1678291200,#ETH,26,8,166
1678287600,#ETH,34,3,163
1678284000,#ETH,28,2,170
1678280400,#ETH,30,3,144
1678276800,#ETH,36,6,158
1678273200,#ETH,38,3,111
1678269600,#ETH,30,5,145
1678266000,#ETH,31,2,129
1678262400,#ETH,22,3,130
1678258800,#ETH,16,4,108
1678255200,#ETH,17,2,102
1678251600,#ETH,14,4,83
1678248000,#ETH,21,1,90
1678244400,#ETH,8,1,81
1678240800,#ETH,17,5,78
1678237200,#ETH,22,4,107
1678233600,#ETH,13,4,89
1678230000,#ETH,28,1,120
1678226400,#ETH,21,6,129
1678222800,#ETH,23,8,109
1678219200,#ETH,28,5,159
1678215600,#ETH,33,5,159
1678212000,#ETH,26,6,168
1678208400,#ETH,23,6,171
1678204800,#ETH,29,5,166
1678201200,#ETH,26,7,167
1678197600,#ETH,29,5,139
1678194000,#ETH,37,4,139
1678190400,#ETH,25,4,164
1678186800,#ETH,26,5,159
1678183200,#ETH,18,4,136
1678179600,#ETH,21,7,131
1678176000,#ETH,19,4,130
1678172400,#ETH,29,3,126
1678168800,#ETH,12,2,103
1678165200,#ETH,21,3,89
1678161600,#ETH,9,6,98
1678158000,#ETH,17,5,101
1678154400,#ETH,14,3,89
1678150800,#ETH,16,3,92
1678147200,#ETH,13,4,124
1678143600,#ETH,20,8,92
1678140000,#ETH,17,8,129
1678136400,#ETH,29,11,140
1678132800,#ETH,28,5,167
1678129200,#ETH,31,9,160
1678125600,#ETH,33,6,145
1678122000,#ETH,33,6,161
1678118400,#ETH,14,2,184
1678114800,#ETH,23,3,174
1678111200,#ETH,23,4,173
1678107600,#ETH,31,9,160
1678104000,#ETH,27,5,168
1678100400,#ETH,27,4,169
1678096800,#ETH,38,5,157
1678093200,#ETH,22,2,149
1678089600,#ETH,33,6,117
1678086000,#ETH,17,9,113
